DATE,RSFSXMVN
1992-01-01,116565
1992-02-01,115862
1992-03-01,124200
1992-04-01,127587
1992-05-01,133608
1992-06-01,130274
1992-07-01,132076
1992-08-01,134928
1992-09-01,128734
1992-10-01,136917
1992-11-01,139187
1992-12-01,175771
1993-01-01,121021
1993-02-01,117300
1993-03-01,131181
1993-04-01,135401
1993-05-01,140841
1993-06-01,138540
1993-07-01,140704
1993-08-01,141612
1993-09-01,137132
1993-10-01,142450
1993-11-01,148461
1993-12-01,185536
1994-01-01,124850
1994-02-01,123634
1994-03-01,143525
1994-04-01,141977
1994-05-01,147862
1994-06-01,148644
1994-07-01,147625
1994-08-01,154061
1994-09-01,147603
1994-10-01,151778
1994-11-01,158908
1994-12-01,198627
1995-01-01,134789
1995-02-01,130679
1995-03-01,149748
1995-04-01,148170
1995-05-01,157703
1995-06-01,156922
1995-07-01,153443
1995-08-01,160769
1995-09-01,153295
1995-10-01,155556
1995-11-01,166150
1995-12-01,203689
1996-01-01,140160
1996-02-01,142805
1996-03-01,156474
1996-04-01,157622
1996-05-01,168786
1996-06-01,162597
1996-07-01,163040
1996-08-01,170581
1996-09-01,158129
1996-10-01,168434
1996-11-01,175816
1996-12-01,211843
1997-01-01,151994
1997-02-01,147430
1997-03-01,167468
1997-04-01,164024
1997-05-01,176251
1997-06-01,169901
1997-07-01,173049
1997-08-01,177182
1997-09-01,167947
1997-10-01,176680
1997-11-01,179711
1997-12-01,220677
1998-01-01,158132
1998-02-01,153119
1998-03-01,170482
1998-04-01,174475
1998-05-01,182817
1998-06-01,179213
1998-07-01,181661
1998-08-01,182720
1998-09-01,174613
1998-10-01,184751
1998-11-01,188435
1998-12-01,234123
1999-01-01,165591
1999-02-01,163598
1999-03-01,185818
1999-04-01,185914
1999-05-01,194291
1999-06-01,191552
1999-07-01,193716
1999-08-01,195625
1999-09-01,189333
1999-10-01,195657
1999-11-01,204250
1999-12-01,257441
2000-01-01,177649
2000-02-01,183688
2000-03-01,204448
2000-04-01,198431
2000-05-01,210656
2000-06-01,208286
2000-07-01,203886
2000-08-01,212094
2000-09-01,203320
2000-10-01,207094
2000-11-01,218058
2000-12-01,263717
2001-01-01,191485
2001-02-01,186254
2001-03-01,209049
2001-04-01,207647
2001-05-01,221671
2001-06-01,215142
2001-07-01,210053
2001-08-01,221436
2001-09-01,200982
2001-10-01,212062
2001-11-01,222341
2001-12-01,265205
2002-01-01,195033
2002-02-01,190149
2002-03-01,215490
2002-04-01,213955
2002-05-01,228248
2002-06-01,217787
